COD_IBGE;POP;IDH municipal;IDH renda;IDH longevidade;IDH educacao
4123808;12444;0,696;0,677;0,826;0,603
4124202;2499;0,696;0,65;0,82;0,632
4101051;3107;0,695;0,671;0,844;0,593
4119251;2762;0,695;0,669;0,801;0,626
4126256;126057;0,695;0,681;0,85;0,579
4127908;10332;0,695;0,662;0,805;0,629
4105706;17321;0,694;0,718;0,813;0,573
4111001;5920;0,694;0,664;0,789;0,639
4119103;13552;0,694;0,677;0,802;0,616
4103404;2620;0,693;0,683;0,811;0,602
4108908;6582;0,693;0,698;0,829;0,574
4125001;10665;0,693;0,677;0,803;0,611
4126652;3440;0,693;0,684;0,854;0,57
4103479;4474;0,692;0,686;0,792;0,611
4114906;9757;0,691;0,664;0,831;0,599
4113759;5027;0,69;0,655;0,826;0,607
4107520;1845;0,689;0,69;0,799;0,594
4112504;12070;0,689;0,696;0,827;0,569
4112900;3446;0,688;0,66;0,817;0,605
4114401;17287;0,688;0,695;0,811;0,579
4117008;7225;0,688;0,681;0,819;0,584
4120150;3111;0,688;0,676;0,821;0,588
4121000;10708;0,688;0,667;0,808;0,604
4100103;7321;0,687;0,676;0,804;0,596
4101200;17261;0,687;0,686;0,838;0,564
4107603;16338;0,687;0,697;0,796;0,584
4112702;11857;0,687;0,669;0,845;0,574
4122008;14032;0,687;0,728;0,819;0,544
4123824;3668;0,687;0,688;0,795;0,592
4124004;5514;0,687;0,654;0,848;0,585
4128500;18894;0,687;0,692;0,79;0,594
4103206;6583;0,686;0,692;0,82;0,57
4104105;7583;0,686;0,661;0,806;0,606
4116208;18396;0,686;0,71;0,837;0,544
4109757;6218;0,685;0,664;0,786;0,615
4120309;3484;0,685;0,674;0,796;0,6
4109658;5471;0,683;0,645;0,807;0,612
4125753;6854;0,683;0,687;0,798;0,581
4107850;4230;0,682;0,68;0,833;0,56
4112603;1280;0,682;0,669;0,791;0,6
4124608;6588;0,682;0,703;0,825;0,547
4102752;3416;0,681;0,667;0,828;0,572
4103370;3703;0,681;0,68;0,813;0,572
4104055;4266;0,681;0,69;0,813;0,562
4106209;17435;0,681;0,697;0,816;0,555
4115002;7220;0,681;0,651;0,828;0,585
4120903;30785;0,681;0,69;0,794;0,576
4122503;11253;0,681;0,665;0,797;0,595
4127858;11142;0,681;0,683;0,831;0,557
4113429;3936;0,68;0,657;0,802;0,598
4115903;2240;0,68;0,656;0,8;0,599
4117214;4183;0,68;0,668;0,799;0,588
4121208;19240;0,68;0,648;0,806;0,603
4122206;32566;0,679;0,679;0,847;0,545
4128625;3059;0,678;0,677;0,829;0,556
4105003;11246;0,678;0,677;0,805;0,573
4107751;8064;0,677;0,68;0,801;0,569
4109302;14398;0,677;0,698;0,841;0,528
4100707;9646;0,676;0,669;0,798;0,578
4101655;3537;0,676;0,638;0,828;0,584
4120606;49395;0,676;0,664;0,807;0,577
4125357;6520;0,676;0,702;0,81;0,543
4108551;2977;0,675;0,642;0,828;0,578
4116109;11170;0,675;0,673;0,802;0,57
4121505;14524;0,672;0,647;0,814;0,576
4127965;16147;0,672;0,668;0,828;0,549
4124400;19677;0,671;0,69;0,807;0,543
4125407;5968;0,671;0,651;0,781;0,594
4127007;9565;0,671;0,676;0,822;0,544
4101853;2340;0,67;0,637;0,794;0,594
4103057;7876;0,67;0,668;0,801;0,563
4100905;4765;0,669;0,644;0,785;0,591
4108320;8141;0,669;0,669;0,786;0,57
4108957;7856;0,669;0,657;0,804;0,568
4105102;10836;0,668;0,686;0,791;0,549
4106001;8336;0,668;0,655;0,809;0,562
4113734;6711;0,668;0,659;0,781;0,58
4100202;8556;0,667;0,644;0,817;0,563
4100459;3435;0,667;0,667;0,78;0,571
4102901;15443;0,667;0,645;0,829;0,556
4106852;3150;0,666;0,65;0,768;0,593
4109906;8992;0,666;0,673;0,792;0,554
4113452;5147;0,666;0,652;0,769;0,588
4110805;10681;0,665;0,696;0,811;0,521
4106803;15993;0,664;0,635;0,845;0,545
4124905;5585;0,664;0,678;0,785;0,551
4127502;18612;0,664;0,678;0,832;0,519
4126306;17112;0,663;0,658;0,811;0,546
4122651;5697;0,662;0,638;0,788;0,577
4100301;10092;0,66;0,671;0,79;0,543
4110102;29893;0,66;0,681;0,828;0,509
4117602;43769;0,66;0,687;0,827;0,505
4108700;5625;0,658;0,649;0,799;0,55
4116802;6781;0,658;0,646;0,792;0,558
4101309;6520;0,656;0,626;0,825;0,547
4107009;13272;0,656;0,649;0,795;0,546
4111308;3566;0,656;0,651;0,798;0,543
4103040;6347;0,655;0,635;0,802;0,553
4114302;33795;0,655;0,677;0,807;0,515
4126207;6444;0,655;0,695;0,795;0,509
4119301;29931;0,654;0,649;0,806;0,534
4123105;3396;0,653;0,655;0,809;0,526
4108502;11053;0,652;0,638;0,816;0,532
4110508;14230;0,652;0,684;0,828;0,489
4115754;8937;0,652;0,661;0,793;0,529
4111407;13142;0,651;0,654;0,791;0,534
4117271;6848;0,651;0,632;0,788;0,553
4128534;9682;0,65;0,633;0,798;0,543
4121752;7009;0,648;0,636;0,82;0,521
4107736;6288;0,645;0,647;0,791;0,525
4108452;4845;0,645;0,654;0,828;0,496
4114351;2775;0,645;0,642;0,805;0,52
4107157;5106;0,644;0,647;0,776;0,532
4117057;14132;0,642;0,614;0,833;0,517
4108650;6570;0,641;0,593;0,813;0,547
4103107;16292;0,64;0,679;0,816;0,473
4122172;3866;0,64;0,624;0,783;0,537
4115101;9846;0,639;0,653;0,794;0,504
4117800;13080;0,639;0,647;0,791;0,511
4106555;3752;0,638;0,632;0,79;0,52
4111258;31843;0,637;0,654;0,779;0,507
4124707;10742;0,637;0,626;0,822;0,503
4107546;5915;0,636;0,632;0,781;0,521
4127601;17717;0,636;0,679;0,792;0,479
4104428;14922;0,635;0,655;0,778;0,503
4104451;10589;0,635;0,638;0,768;0,522
4115739;3279;0,632;0,58;0,812;0,536
4103958;3937;0,63;0,598;0,792;0,527
4121257;4848;0,63;0,639;0,802;0,489
4104402;16727;0,629;0,643;0,783;0,494
